Animal Name,Life Status,Sex,Dam,Sire,Date of Birth,Body Color,Ear Tag,Protocol,Cage Name,Cage Status,Building,Room,Rack,Side,Row,Column,Owner,Genotypes
F183,Live,Female,,,9/13/24,,F183,Acat1-2024,Breeding-01,Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F171,Live,Female,,,8/25/24,,F171,Acat1-2024,Breeding-01,Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F073,Live,Male,,,6/19/24,,F073,Acat1-2024,Breeding-02 (8/19 setup),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/+, TP53 f/+, PTEN f/+, Oligo-Cre +/-, Luc +/-"
F256,Live,Female,,,10/1/24,,F256,Acat1-2024,Breeding-02 (8/19 setup),Active,Biochemistry,2200,,,,,Zijie Feng,"TP53 f/+, PTEN f/f, Luc +/-"
F071,Live,Female,,,6/19/24,,F071,Acat1-2024,Breeding-02 (8/19 setup),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/+, TP53 +/+, PTEN f/+, Oligo-Cre -/-, Luc +/-"
F378,Live,Male,,,11/2/24,,F378,Acat1-2024,Breeding-04  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/+"
F405,Live,Female,,,11/18/24,,F405,Acat1-2024,Breeding-04  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F415,Live,Female,,,11/17/24,,F415,Acat1-2024,Breeding-04  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F440,Live,Male,,,11/30/24,,F440,Acat1-2024,Breeding-05  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/+"
F443,Live,Female,,,11/30/24,,F443,Acat1-2024,Breeding-05  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F419,Live,Female,,,11/17/24,,F419,Acat1-2024,Breeding-05  (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F376,Live,Male,,,11/2/24,,F376,Acat1-2024,Breeding-06 (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/+"
F439,Live,Female,,,11/30/24,,F439,Acat1-2024,Breeding-06 (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F451,Live,Female,,,12/1/24,,F451,Acat1-2024,Breeding-06 (3/7),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F084,Live,Male,,,7/10/24,,F084,Acat1-2024,Breeding-07 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, Lyz-Cre +/+"
F473,Live,Female,,,12/9/24,,F473,Acat1-2024,Breeding-07 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F454,Live,Female,,,12/1/24,,F454,Acat1-2024,Breeding-07 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F400,Live,Male,,,11/12/24,,F400,Acat1-2024,Breeding-08 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F470,Live,Female,,,12/9/24,,F470,Acat1-2024,Breeding-08 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F471,Live,Female,,,12/9/24,,F471,Acat1-2024,Breeding-08 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F156,Live,Male,,,9/1/24,,F156,Acat1-2024,Breeding-09 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F469,Live,Female,,,12/9/24,,F469,Acat1-2024,Breeding-09 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F492,Live,Female,,,12/11/24,,F492,Acat1-2024,Breeding-09 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,Soat1 f/f
F170,Live,Male,,,8/25/24,,F170,Acat1-2024,Breeding-10 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, Lyz-Cre +/-"
F455,Live,Female,,,12/1/24,,F455,Acat1-2024,Breeding-10 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
F446,Live,Female,,,12/1/24,,F446,Acat1-2024,Breeding-10 (3/9),Active,Biochemistry,2200,,,,,Zijie Feng,"Soat1 f/f, LyzCre +/-"
