"sample","sample_type","files_count","extraction_status"
"GSM6925378_NGB1","NGB1",3,"success"
"GSM6925379_NGB2","NGB2",3,"success"
"GSM6925380_NGB4","NGB4",3,"success"
"GSM6925381_IMP1","IMP1",3,"success"
"GSM6925382_IMP2","IMP2",3,"success"
"GSM6925383_IMP3","IMP3",3,"success"
"GSM6925384_IMP4","IMP4",3,"success"
"GSM6925385_IMR1","IMR1",3,"success"
"GSM6925386_IMR2","IMR2",3,"success"
"GSM6925387_IMR3","IMR3",3,"success"
"GSM6925388_IMR4","IMR4",3,"success"
"GSM6925389_IMR5","IMR5",3,"success"
"GSM6925390_IMR6","IMR6",3,"success"
"GSM6925391_IWP1","IWP1",3,"success"
"GSM6925392_IWP2","IWP2",3,"success"
"GSM6925393_IWP3","IWP3",3,"success"
"GSM6925394_IWP4","IWP4",3,"success"
"GSM6925395_IWR1","IWR1",3,"success"
"GSM6925396_IWR2","IWR2",3,"success"
"GSM6925397_IWR3","IWR3",3,"success"
"GSM6925398_IWR4","IWR4",3,"success"
