### Cleaned Ct Data ###,,,,,,,,,,,
14.16990528,14.2316278,14.27186788,29.69206934,29.69595022,30.32103337,18.26311055,18.28524828,18.53906645,28.91962284,29.0086943,29.00471579
13.79798,13.7541338,13.91735805,30.54699446,29.7341209,30.71584182,18.24904874,18.56619487,18.52789529,29.3229514,29.9616716,29.9347068
14.49210924,14.65766034,14.37089903,33.27048458,31.660239,32.36006895,19.1354425,19.00258011,19.02117364,28.95193993,28.97713584,29.11049557
14.18856123,14.35449787,14.4690538,33.01853844,#VALUE!,#VALUE!,19.47823904,19.18591742,19.30717102,28.76745288,29.39834058,29.17344742
14.33939732,13.98332858,14.34357424,29.94120573,29.82699659,31.04565202,19.23198337,18.96424369,19.33531298,30.1412221,30.40988928,29.2213582
14.84767377,14.17274893,14.52568218,29.76264801,29.18488951,30.67123631,19.46759146,19.17737871,19.06305411,29.89691587,29.07198407,30.10257045
13.69868885,14.64441328,14.85576889,30.23427091,29.46975033,29.58228278,17.44620891,17.52869205,17.51943237,29.06465282,28.83063956,28.10761422
14.61680385,15.06027615,14.67424068,29.17669384,28.94618853,28.98845124,19.25098078,19.36807073,19.60191136,29.92100572,29.64101947,29.51269007
14.27558377,14.17219254,14.56340885,26.34757317,26.22725312,24.72646452,19.07490299,19.06845756,18.89083765,27.3509228,27.39438725,25.41104825
14.71126071,14.58913968,14.57200114,31.87232694,32.56769687,30.69473168,18.70907811,18.83186869,18.95255656,30.09815099,28.81454724,29.90084231
15.32301851,15.21639234,15.16871029,30.91785187,32.25462052,30.48208558,21.2901907,21.01700751,21.19561881,30.18236267,29.739431,30.15898253
14.19868392,14.00418906,13.99565974,30.7221885,30.02244229,30.94620514,20.48670786,19.99234737,20.29701598,29.46802172,29.54652699,29.71336963
,,,,,,,,,,,
### ΔCt Values ###,,,,,,,,,,,
#VALUE!,#VALUE!,#VALUE!,-15.52216406,-15.46432242,-16.04916549,-4.09320527,-4.05362048,-4.26719857,-14.74971757,-14.77308799,-14.73682642
#VALUE!,#VALUE!,#VALUE!,-16.74901446,-15.97998709,-16.79848378,-4.72991529,-4.49491494,-4.64883682,-16.13672681,-15.5688176,-16.04431356
#VALUE!,#VALUE!,#VALUE!,-17.86795971,-18.61282424,-17.28933997,-4.52906439,-4.47778216,-4.63168108,-14.4850266,-14.45283523,-14.5810409
#VALUE!,#VALUE!,#VALUE!,-18.82997722,#VALUE!,#VALUE!,-4.9973562,-4.95267315,-5.00918524,-14.57889166,-14.81894955,-14.92928678
#VALUE!,#VALUE!,#VALUE!,-15.60180841,-15.843668,-16.70207778,-4.89258605,-4.98091511,-4.99173873,-15.80182478,-15.23802962,-16.06631504
#VALUE!,#VALUE!,#VALUE!,-15.82356254,-15.01214058,-15.23696583,-4.61991768,-4.89030518,-4.65169653,-15.25489668,-14.89923514,-15.37123369
#VALUE!,#VALUE!,#VALUE!,-15.77106148,-14.9378695,-15.37850202,-3.74752006,-2.87501909,-2.67292316,-14.40892537,-14.18622628,-14.20888393
#VALUE!,#VALUE!,#VALUE!,-14.32938468,-14.11641769,-14.31421056,-4.63417693,-4.54163521,-4.69383006,-14.89588622,-14.86072958,-14.9667788
#VALUE!,#VALUE!,#VALUE!,-11.95166935,-10.55427198,-11.78416431,-4.79287379,-4.71864511,-4.51149414,-13.07533904,-11.23885571,-12.83097839
#VALUE!,#VALUE!,#VALUE!,-17.85643616,-17.28318726,-16.12273054,-4.24129585,-4.24272901,-4.13707697,-15.38689028,-15.31170263,-14.2425461
#VALUE!,#VALUE!,#VALUE!,-16.93160201,-15.70145953,-15.31337528,-5.9671722,-5.97922647,-5.84829722,-14.85934417,-14.94259019,-14.57072071
#VALUE!,#VALUE!,#VALUE!,-16.74752121,-16.71799943,-16.02678255,-6.28802393,-6.29282692,-5.99668763,-15.51468571,-15.54233793,-15.47236199
,,,,,,,,,,,
### Expression Values (2^ΔCt) ###,,,,,,,,,,,
#VALUE!,#VALUE!,#VALUE!,2.125e-05,2.212e-05,1.475e-05,0.05858986,0.06021971,0.05193322,3.63e-05,3.572e-05,3.662e-05
#VALUE!,#VALUE!,#VALUE!,9.08e-06,1.547e-05,8.77e-06,0.03768371,0.04435022,0.03986215,1.388e-05,2.057e-05,1.48e-05
